StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1684576800,1684577700,1,1.34,1.285,1.394,1.192,1.502,1.304,1.264,1.255,1.149,1.39,1.419,1.446,12
1684576800,1684577700,3,1.307,1.111,1.229,1.097,1.186,1.276,1.054,0.886,1.012,1.274,1.192,1.457,12
1684576800,1684577700,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1684576800,1684577700,9,1.504,1.365,1.467,1.441,1.272,1.295,1.415,1.524,1.276,NaN,NaN,NaN,9
1684576800,1684577700,10,1.591,1.648,1.529,1.461,1.664,1.599,1.459,1.47,1.402,1.507,1.624,1.721,12
1684576800,1684577700,12,3.167,3.082,3.451,3.078,2.915,21.841,3.113,3.094,2.955,3.128,3.087,3.107,12
1684576800,1684577700,16,2.828,2.978,3.074,2.852,2.878,2.928,2.891,2.874,2.927,3.108,2.951,3.145,12
1684576800,1684577700,17,1.27,1.275,1.26,1.546,1.569,1.648,1.302,1.229,1.338,1.525,1.529,1.411,12
1684576800,1684577700,18,1.338,1.532,1.422,1.405,1.443,1.867,1.213,1.466,1.248,NaN,NaN,NaN,9
1684576800,1684577700,21,0.893,1.262,1.029,0.89,0.854,0.961,0.922,0.947,0.956,1.067,1.056,0.971,12
