StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1626775200,1626776100,1,0.971,0.806,0.928,1.009,0.972,0.918,0.937,0.851,0.856,0.908,1.129,0.987,12
1626775200,1626776100,3,1.0,1.126,1.226,1.792,2.77,1.003,1.094,1.073,1.038,1.123,1.168,1.037,12
1626775200,1626776100,7,1.612,1.429,1.62,3.692,3.037,3.332,1.678,1.592,1.541,1.686,1.517,1.704,12
1626775200,1626776100,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1626775200,1626776100,10,1.323,1.198,1.203,1.766,1.681,1.82,1.273,1.047,1.209,1.174,1.238,1.196,12
1626775200,1626776100,12,1.9,1.961,1.843,1.946,2.061,2.46,1.788,1.891,1.808,1.885,1.985,2.312,12
1626775200,1626776100,16,1.533,1.697,1.577,1.479,1.475,1.447,1.272,1.322,1.304,1.713,1.282,1.35,12
1626775200,1626776100,17,1.026,0.897,0.815,0.953,1.725,1.091,0.937,0.811,1.033,1.052,0.822,0.848,12
1626775200,1626776100,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1626775200,1626776100,21,0.941,0.865,0.864,1.278,0.876,0.827,0.85,0.992,0.979,0.837,0.791,0.816,12
