StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1621504800,1621505700,1,1.073,1.221,1.125,1.161,1.148,1.3,1.176,1.006,1.119,1.137,1.114,1.217,12
1621504800,1621505700,3,1.091,1.163,1.21,1.129,1.167,1.068,1.16,1.139,1.236,NaN,NaN,NaN,9
1621504800,1621505700,7,2.636,2.639,2.783,2.577,2.716,2.583,2.731,2.498,2.491,2.59,2.759,2.667,12
1621504800,1621505700,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1621504800,1621505700,10,1.657,1.472,1.484,1.463,1.596,1.628,1.426,1.396,1.479,1.526,1.552,1.472,12
1621504800,1621505700,12,1.57,1.735,1.476,1.62,1.775,1.645,1.44,1.471,1.692,1.43,1.574,1.61,12
1621504800,1621505700,16,1.554,1.415,1.305,1.429,1.617,1.515,1.359,1.551,1.492,1.536,1.494,1.597,12
1621504800,1621505700,17,1.283,1.476,1.277,1.464,1.361,1.445,1.502,1.475,1.404,1.419,1.36,1.309,12
1621504800,1621505700,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1621504800,1621505700,21,0.865,0.996,0.982,0.957,1.062,1.11,1.242,1.177,0.979,1.013,0.992,1.156,12
