StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1684576800,1684577700,1,18.476,18.512,18.543,18.494,18.423,18.385,18.402,18.564,18.612,NaN,NaN,NaN,9
1684576800,1684577700,3,17.505,17.584,17.69,17.438,17.597,17.524,17.378,17.353,17.361,NaN,NaN,NaN,9
1684576800,1684577700,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1684576800,1684577700,9,15.376,15.575,15.339,15.377,15.267,15.252,15.378,15.285,15.385,NaN,NaN,NaN,9
1684576800,1684577700,10,1.577,1.67,1.663,1.477,1.431,1.561,1.401,1.418,1.521,NaN,NaN,NaN,9
1684576800,1684577700,12,4.17,4.21,4.231,3.894,4.12,4.064,4.031,4.008,4.052,NaN,NaN,NaN,9
1684576800,1684577700,16,2.417,2.366,2.305,2.145,2.186,2.298,2.22,2.162,2.262,NaN,NaN,NaN,9
1684576800,1684577700,17,9.754,9.511,9.615,9.603,9.65,9.598,9.607,9.52,9.605,NaN,NaN,NaN,9
1684576800,1684577700,18,2.209,2.473,2.213,2.214,2.15,2.14,2.097,2.263,2.233,NaN,NaN,NaN,9
1684576800,1684577700,21,15.297,15.3,15.275,15.339,15.279,15.275,15.589,15.251,15.384,NaN,NaN,NaN,9
