StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1621504800,1621505700,1,0.4,0.404,0.449,0.769,0.55,0.403,0.361,0.372,0.424,0.298,0.304,0.374,12
1621504800,1621505700,3,1.081,1.092,1.01,1.72,1.958,1.58,1.058,1.566,1.583,1.132,1.102,1.13,12
1621504800,1621505700,7,2.735,2.687,2.649,2.805,3.057,3.236,2.73,2.784,2.727,2.982,2.746,2.77,12
1621504800,1621505700,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1621504800,1621505700,10,2.177,2.156,2.065,2.432,2.478,2.529,2.143,2.095,2.152,2.144,2.257,2.235,12
1621504800,1621505700,12,1.123,1.072,1.094,1.29,1.494,1.326,1.154,1.133,1.314,1.261,1.106,1.11,12
1621504800,1621505700,16,1.655,1.628,1.622,1.889,1.761,1.819,1.721,1.75,1.609,1.751,1.679,1.686,12
1621504800,1621505700,17,2.359,2.484,2.524,2.672,2.493,2.813,2.404,2.42,2.278,2.463,2.424,2.464,12
1621504800,1621505700,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1621504800,1621505700,21,0.768,0.872,0.728,1.186,1.17,0.917,0.673,0.637,0.633,0.914,0.847,0.899,12
