StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1624183200,1624184100,1,1.551,1.512,1.476,1.447,1.406,1.443,1.469,1.405,1.542,NaN,NaN,NaN,9
1624183200,1624184100,3,19.176,18.47,18.532,18.982,18.412,18.324,18.343,18.48,18.289,NaN,NaN,NaN,9
1624183200,1624184100,7,11.241,11.262,10.916,10.82,10.725,10.742,10.651,10.715,10.671,NaN,NaN,NaN,9
1624183200,1624184100,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1624183200,1624184100,10,1.643,1.715,1.615,1.599,1.657,1.652,1.599,1.534,1.64,NaN,NaN,NaN,9
1624183200,1624184100,12,5.067,5.319,5.049,5.04,5.205,5.198,5.521,5.616,5.246,NaN,NaN,NaN,9
1624183200,1624184100,16,1.825,1.879,1.852,1.796,1.78,1.73,1.777,1.73,1.802,NaN,NaN,NaN,9
1624183200,1624184100,17,15.398,15.4,15.375,15.517,15.386,15.466,15.436,15.333,15.344,NaN,NaN,NaN,9
1624183200,1624184100,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1624183200,1624184100,21,15.379,15.333,15.253,15.377,15.23,15.247,15.385,15.278,15.393,NaN,NaN,NaN,9
