StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1684576800,1684577700,1,0.563,0.63,0.622,0.793,0.852,0.93,0.464,0.544,0.49,0.794,0.534,0.92,12
1684576800,1684577700,3,1.275,1.287,1.726,1.758,1.642,1.966,1.436,1.338,1.688,1.478,2.067,1.222,12
1684576800,1684577700,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1684576800,1684577700,9,2.64,2.567,2.714,2.623,2.659,2.657,2.739,2.628,2.747,2.666,2.584,2.718,12
1684576800,1684577700,10,2.32,2.292,2.305,5.073,2.544,2.584,2.128,2.189,2.326,2.185,2.094,2.293,12
1684576800,1684577700,12,2.481,2.377,2.649,2.703,2.877,2.895,2.556,2.198,2.399,2.47,2.345,2.444,12
1684576800,1684577700,16,1.815,1.758,1.849,11.127,2.095,2.069,1.717,1.741,1.7,1.64,1.771,1.733,12
1684576800,1684577700,17,2.674,2.868,2.766,3.014,2.942,2.715,2.596,2.556,2.549,2.627,2.816,2.724,12
1684576800,1684577700,18,18.837,21.306,18.714,18.722,20.309,18.947,18.741,18.842,18.776,19.064,18.733,19.055,12
1684576800,1684577700,21,0.909,0.938,0.846,1.275,1.098,1.083,0.906,0.995,0.818,1.19,0.944,1.022,12
