,,,,,,,,,,,,,,,,,,,,,,,,,
1,1687698000,1.4,1.092,1.133,1.112,1.175,1.058,1.262,1.14,1.379,1.138,1.255,1.143,1.093,1.258,1.237,1.303,1.164,1.209,,,,,,
3,1687698000,0.951,1.283,1.157,1.069,1.063,1.488,1.454,1.102,2.014,1.024,2.419,1.495,1.138,1.107,1.237,1.218,1.231,1.339,,,,,,
7,1687698000,,,,,,,,,,,,,,,,,,,,,,,,
9,1687698000,1.272,1.503,1.457,1.269,1.294,1.413,1.226,1.414,1.545,1.394,1.401,1.443,1.358,1.434,1.246,1.408,1.285,1.383,,,,,,
10,1687698000,1.424,1.743,1.524,1.419,1.497,1.543,1.476,1.65,1.498,1.773,1.918,1.799,1.509,1.416,1.669,1.738,1.593,1.818,,,,,,
12,1687698000,3.156,3.169,3.027,3.393,3.246,3.311,3.04,2.971,2.855,3.051,2.95,3.134,3.527,3.244,3.868,3.351,2.935,3.134,2.962,3.067,3.052,,,
16,1687698000,3.12,3.018,3.248,2.984,2.915,2.961,3.046,3.098,2.936,3.125,3.136,3.061,3.322,3.255,3.246,3.117,3.033,3.165,3.165,3.2,2.888,,,
17,1687698000,1.404,1.484,1.641,1.527,1.328,1.404,1.357,1.347,1.311,1.395,1.901,1.512,1.459,1.346,1.708,1.537,1.465,1.308,1.417,1.472,1.281,,,
18,1687698000,31.801,1.225,1.256,1.302,1.305,1.468,1.365,49.062,1.29,1.276,1.471,1.282,25.757,1.552,1.262,1.406,1.213,1.254,,,,,,
21,1687698000,1.109,1.232,1.303,1.004,0.989,0.86,1.169,1.907,1.075,1.1,1.083,1.592,1.019,1.166,1.157,0.922,1.154,1.081,,,,,,
1,1687699800,1.167,1.116,1.047,1.172,1.296,10.453,1.213,1.199,1.239,1.093,1.065,1.057,1.152,1.14,1.162,1.205,1.081,1.194,1.209,1.291,1.31,1.817,1.23,1.118
3,1687699800,1.184,1.17,1.164,1.424,1.664,3.155,1.152,1.028,1.176,1.324,1.164,1.286,1.138,1.538,1.18,1.233,1.334,1.297,1.205,1.032,1.081,1.514,1.356,1.523
7,1687699800,,,,,,,,,,,,,,,,,,,,,,,,
9,1687699800,1.366,1.467,1.328,1.386,1.354,1.553,1.221,1.312,1.429,1.434,1.38,1.333,1.359,1.369,1.409,1.33,1.172,1.276,1.465,1.274,1.349,1.186,1.277,1.404
10,1687699800,1.558,1.427,1.454,1.665,2.337,1.94,1.576,1.435,1.687,1.56,1.433,1.645,1.741,1.486,1.515,2.395,1.663,1.701,32.137,1.496,1.609,1.67,1.496,1.648
12,1687699800,3.058,3.131,3.158,3.504,3.292,3.462,2.992,3.063,3.083,3.078,3.08,3.132,3.29,3.183,3.098,3.16,3.621,2.979,3.128,3.261,3.392,3.043,2.972,3.331
16,1687699800,2.983,3.031,21.388,3.191,3.376,3.453,2.918,2.891,2.973,3.006,3.067,2.973,3.077,3.046,2.871,2.935,3.339,3.078,3.062,3.035,3.005,3.114,3.108,3.221
17,1687699800,1.356,1.331,1.403,1.341,1.798,1.468,1.34,1.572,1.487,1.595,1.412,1.483,1.283,1.689,1.456,1.489,1.347,1.556,1.425,1.536,1.607,1.561,1.453,1.595
18,1687699800,1.18,1.326,1.468,88.431,38.166,1.113,1.572,1.149,1.245,1.096,1.278,1.46,1.162,1.248,1.237,1.334,1.293,1.425,1.127,1.177,1.307,1.154,1.205,1.455
21,1687699800,0.932,1.031,1.131,1.283,11.607,1.49,1.089,1.17,1.127,1.176,1.189,1.026,1.223,1.192,1.073,1.269,1.15,1.017,1.053,0.988,1.335,1.075,1.027,1.098
1,1687701600,1.166,1.149,1.195,1.111,106.762,1.189,1.099,1.306,1.2,1.008,1.058,1.142,1.229,1.116,1.333,1.156,1.08,1.067,,,,,,
3,1687701600,1.125,1.275,1.119,1.022,1.177,1.205,1.386,1.063,1.982,2.782,1.286,1.459,1.351,1.172,1.236,1.107,1.168,1.376,,,,,,
7,1687701600,,,,,,,,,,,,,,,,,,,,,,,,
9,1687701600,1.22,1.478,1.261,10.968,1.25,1.368,1.311,1.234,1.535,1.185,1.304,1.345,1.252,1.339,1.406,1.307,1.351,,,,,,,
10,1687701600,1.616,1.674,1.743,1.785,1.512,1.477,1.828,1.726,1.471,1.774,1.59,1.898,1.592,1.581,1.545,1.555,1.74,1.674,,,,,,
12,1687701600,3.123,3.256,2.988,3.384,3.118,2.917,2.98,2.942,3.058,3.015,3.049,3.166,3.309,3.159,3.17,2.95,3.331,3.362,3.114,2.995,3.037,,,
16,1687701600,2.969,3.045,2.976,2.941,3.148,3.023,2.985,2.914,2.977,2.958,3.005,3.139,3.089,3.175,2.962,2.925,3.127,3.107,3.03,3.105,,,,
17,1687701600,1.437,1.43,1.411,1.312,1.399,1.343,1.473,1.28,1.444,1.603,1.388,1.462,1.36,1.491,1.5,1.509,1.611,1.357,1.557,1.455,1.57,,,
18,1687701600,1.196,1.419,1.227,1.377,1.205,1.309,1.436,1.293,1.718,1.407,1.187,80.923,1.194,1.313,1.349,1.105,1.211,1.179,,,,,,
21,1687701600,1.086,1.402,1.16,71.378,0.944,1.106,0.965,0.956,1.206,0.927,1.001,1.025,0.986,1.067,1.041,1.231,1.041,,,,,,,
