,,,,,,,,,,,,,,,,,,,,,,,,,
1,1687692600,18.392,18.467,18.334,18.423,18.465,18.379,18.38,18.505,18.395,18.351,18.314,18.286,18.451,18.455,18.359,18.389,18.443,18.286,18.418,18.262,18.377,,,
3,1687692600,16.012,16.099,16.157,16.215,16.254,16.174,16.059,15.989,16.148,16.139,16.082,16.162,16.142,16.334,16.279,16.407,16.19,16.079,16.078,16.018,16.33,,,
7,1687692600,,,,,,,,,,,,,,,,,,,,,,,,
9,1687692600,16.472,16.51,16.545,16.512,16.645,16.544,16.542,16.428,16.62,16.593,16.598,16.682,16.713,16.709,16.627,16.658,16.605,16.586,16.644,16.582,16.685,,,
10,1687692600,1.507,1.377,1.55,1.707,1.634,1.602,1.503,1.516,1.495,1.47,1.513,1.467,1.62,1.66,1.5,1.417,1.511,1.511,1.529,1.603,1.436,,,
12,1687692600,4.525,4.265,4.264,4.314,4.253,4.474,4.372,4.346,4.265,4.202,4.432,4.335,4.545,4.336,4.589,4.377,4.481,4.381,4.399,4.215,4.347,,,
16,1687692600,2.388,2.333,2.315,2.661,2.305,2.259,2.207,2.501,2.273,2.229,2.235,2.262,2.288,2.493,2.185,2.431,2.311,2.457,2.167,2.247,2.25,2.276,2.223,2.279
17,1687692600,8.303,8.31,8.192,8.429,8.333,8.382,8.22,8.293,8.571,8.241,8.211,8.291,8.271,8.263,8.221,8.381,8.334,8.47,8.213,8.24,8.233,8.467,8.189,8.178
18,1687692600,2.825,2.074,1.899,1.854,2.084,6.299,2.389,1.988,1.977,3.21,1.94,2.034,2.156,2.357,3.173,2.001,2.076,2.029,1.97,2.856,1.991,,,
21,1687692600,15.262,15.317,15.631,15.339,15.454,15.296,15.432,15.3,15.546,17.01,15.468,15.474,15.694,15.682,15.886,15.565,15.521,15.39,15.308,15.34,15.335,,,
1,1687694400,18.419,18.383,18.51,18.324,18.344,18.412,18.359,18.379,18.348,18.368,18.432,18.499,18.664,18.557,18.545,18.452,18.343,18.479,18.301,18.381,18.359,,,
3,1687694400,16.027,16.131,16.671,16.022,15.988,16.017,16.214,16.148,16.12,20.473,17.748,16.566,16.21,16.177,16.618,16.111,16.092,16.306,16.187,16.449,16.285,,,
7,1687694400,,,,,,,,,,,,,,,,,,,,,,,,
9,1687694400,16.627,16.659,16.73,16.57,16.664,16.694,16.786,16.638,16.663,16.752,16.696,16.66,16.618,16.684,16.647,16.55,16.6,16.637,,,,,,
