StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1624183200,1624184100,1,1.056,0.865,0.98,0.953,0.853,1.022,0.869,0.965,0.859,10.891,0.886,0.954,12
1624183200,1624184100,3,1.142,1.038,1.145,1.205,1.35,1.186,1.108,1.27,1.161,1.13,1.101,1.127,12
1624183200,1624184100,7,1.813,1.758,1.736,2.186,3.44,2.749,1.831,1.881,1.82,1.817,1.798,1.822,12
1624183200,1624184100,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1624183200,1624184100,10,1.085,1.062,1.079,1.516,1.52,1.463,1.104,1.109,1.191,1.151,1.066,1.142,12
1624183200,1624184100,12,0.69,0.689,0.689,1.213,0.768,0.798,0.65,0.646,0.616,0.714,0.663,0.707,12
1624183200,1624184100,16,1.483,1.458,1.539,1.56,1.576,1.511,1.548,1.429,1.413,1.687,1.583,1.498,12
1624183200,1624184100,17,0.766,0.449,0.427,0.541,0.806,0.637,0.648,0.468,0.511,0.575,0.452,0.543,12
1624183200,1624184100,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1624183200,1624184100,21,0.515,0.458,0.471,0.597,0.565,0.587,0.542,0.443,0.414,0.55,0.47,0.458,12
