StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1626775200,1626776100,1,0.906,0.775,0.943,1.167,0.95,1.001,0.802,0.791,0.868,0.916,0.929,0.827,12
1626775200,1626776100,3,1.029,1.088,1.108,1.293,1.268,1.234,1.075,1.083,1.29,1.162,1.049,1.097,12
1626775200,1626776100,7,1.844,1.752,1.735,2.271,1.943,2.086,1.739,1.827,1.747,1.694,1.658,1.81,12
1626775200,1626776100,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1626775200,1626776100,10,1.152,1.197,1.107,1.434,1.468,4.631,1.073,1.083,0.907,1.048,1.164,1.107,12
1626775200,1626776100,12,0.74,0.744,0.723,1.026,1.729,0.957,0.672,0.638,0.651,0.736,0.674,0.667,12
1626775200,1626776100,16,1.921,1.979,1.738,1.637,1.712,1.79,1.67,1.647,1.657,1.638,1.606,1.646,12
1626775200,1626776100,17,1.029,0.594,0.517,1.304,0.616,0.521,0.618,0.605,0.638,0.626,0.579,0.583,12
1626775200,1626776100,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1626775200,1626776100,21,0.503,0.705,0.597,0.776,0.542,0.472,0.513,0.457,0.38,0.475,0.514,0.447,12
