StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1681984800,1681985700,1,1.71,1.727,1.702,1.71,1.735,1.643,1.889,1.879,1.939,NaN,NaN,NaN,9
1681984800,1681985700,3,1.531,1.449,1.645,1.534,1.445,1.423,1.773,1.411,2.183,NaN,NaN,NaN,9
1681984800,1681985700,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1681984800,1681985700,9,1.576,1.573,1.8,1.618,1.473,1.536,1.603,1.694,1.451,NaN,NaN,NaN,9
1681984800,1681985700,10,1.597,1.417,1.41,1.63,1.373,1.456,1.622,1.581,1.414,1.384,1.516,1.707,12
1681984800,1681985700,12,3.072,3.012,3.193,2.92,3.108,2.9,3.056,3.12,3.095,3.161,3.258,3.064,12
1681984800,1681985700,16,2.989,3.178,3.129,3.076,3.291,3.128,NaN,NaN,NaN,NaN,NaN,NaN,6
1681984800,1681985700,17,1.797,1.846,1.645,1.659,1.72,1.77,1.61,1.559,1.779,1.792,1.632,1.722,12
1681984800,1681985700,18,1.509,1.35,3.647,1.566,1.423,1.497,1.368,1.35,1.353,NaN,NaN,NaN,9
1681984800,1681985700,21,1.021,1.065,0.921,1.005,1.053,1.092,NaN,NaN,NaN,NaN,NaN,NaN,6
