StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1626775200,1626776100,1,1.162,1.155,1.38,1.172,1.108,1.055,1.18,1.243,1.171,1.275,1.064,1.925,12
1626775200,1626776100,3,1.132,1.131,1.312,0.98,1.057,1.059,1.0,1.138,1.074,NaN,NaN,NaN,9
1626775200,1626776100,7,3.003,2.817,3.118,3.138,3.104,3.138,3.096,2.969,2.934,NaN,NaN,NaN,9
1626775200,1626776100,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1626775200,1626776100,10,1.673,1.421,1.711,1.535,1.7,1.696,1.569,1.787,1.508,1.489,1.604,1.586,12
1626775200,1626776100,12,1.319,1.402,1.525,1.284,1.516,1.356,1.389,1.298,1.326,1.289,1.553,1.507,12
1626775200,1626776100,16,1.516,1.594,1.714,1.573,1.572,1.485,1.496,1.576,1.415,1.598,1.532,1.508,12
1626775200,1626776100,17,1.313,1.38,1.393,1.526,1.444,1.575,1.368,1.275,1.277,1.453,1.171,1.462,12
1626775200,1626776100,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1626775200,1626776100,21,1.01,1.038,0.898,0.999,1.041,1.115,1.017,1.12,1.114,NaN,NaN,NaN,9
