StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1624183200,1624184100,1,0.972,1.011,0.969,1.219,1.268,1.062,1.197,1.133,1.129,1.001,1.112,1.117,12
1624183200,1624184100,3,1.046,1.1,1.075,1.104,0.991,1.132,1.176,1.196,1.04,1.07,1.067,1.137,12
1624183200,1624184100,7,2.58,2.753,2.679,2.502,2.669,2.673,2.439,2.542,2.479,2.559,2.594,2.674,12
1624183200,1624184100,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1624183200,1624184100,10,1.563,1.636,1.482,1.66,1.575,1.627,1.589,1.58,1.414,1.775,1.733,1.476,12
1624183200,1624184100,12,1.482,1.658,1.542,1.518,1.621,1.531,1.665,1.609,1.399,1.695,1.602,1.72,12
1624183200,1624184100,16,1.542,1.443,1.508,1.654,1.739,1.555,1.462,1.581,1.546,1.482,1.567,1.524,12
1624183200,1624184100,17,1.402,1.576,1.494,1.369,1.324,1.534,1.532,1.431,1.518,1.461,1.538,1.515,12
1624183200,1624184100,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1624183200,1624184100,21,1.165,0.935,0.996,1.012,0.819,0.961,1.001,0.838,0.985,0.955,1.265,0.949,12
