StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1684576800,1684577700,1,2.323,2.349,2.204,2.299,2.32,2.415,2.15,2.191,2.187,NaN,NaN,NaN,9
1684576800,1684577700,3,1.063,0.918,0.941,15.952,2.12,0.863,0.976,1.041,0.993,0.779,0.786,0.775,12
1684576800,1684577700,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1684576800,1684577700,9,0.942,1.049,1.002,0.926,0.904,1.016,0.735,0.827,0.784,NaN,NaN,NaN,9
1684576800,1684577700,10,1.21,1.083,1.04,1.111,1.121,1.119,1.047,0.966,0.931,NaN,NaN,NaN,9
1684576800,1684577700,12,3.473,3.414,3.616,3.709,3.696,3.497,3.536,3.328,3.293,3.536,3.291,3.467,12
1684576800,1684577700,16,4.064,4.075,3.996,3.895,3.97,4.162,3.991,3.874,3.922,NaN,NaN,NaN,9
1684576800,1684577700,17,1.026,0.522,0.461,1.11,0.712,0.628,0.599,0.583,0.645,0.449,0.473,0.484,12
1684576800,1684577700,18,1.635,1.541,1.711,1.646,1.645,1.597,1.63,1.603,1.556,NaN,NaN,NaN,9
1684576800,1684577700,21,0.825,0.86,0.71,0.763,0.756,0.867,0.563,0.633,0.73,NaN,NaN,NaN,9
