StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1621504800,1621505700,1,1.597,1.828,1.484,1.457,1.558,10.401,1.555,1.471,1.519,NaN,NaN,NaN,9
1621504800,1621505700,3,18.441,18.666,18.416,18.449,18.455,18.458,18.375,18.422,18.487,NaN,NaN,NaN,9
1621504800,1621505700,7,19.444,19.339,19.946,19.25,19.327,19.193,19.4,19.368,19.594,NaN,NaN,NaN,9
1621504800,1621505700,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1621504800,1621505700,10,1.789,1.713,1.636,1.573,1.547,1.423,1.547,1.559,1.497,NaN,NaN,NaN,9
1621504800,1621505700,12,1.536,1.424,1.471,1.511,1.409,1.574,1.314,1.39,1.319,NaN,NaN,NaN,9
1621504800,1621505700,16,1.82,1.83,1.817,1.633,1.617,1.602,1.657,1.642,1.719,NaN,NaN,NaN,9
1621504800,1621505700,17,16.913,16.794,16.816,16.885,16.694,16.656,16.778,16.743,16.663,NaN,NaN,NaN,9
1621504800,1621505700,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1621504800,1621505700,21,18.073,18.051,18.112,18.158,18.05,18.019,18.027,18.012,18.176,NaN,NaN,NaN,9
