StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1681984800,1681985700,1,0.869,0.959,0.789,1.712,1.117,0.984,0.833,0.827,0.858,0.89,0.859,0.751,12
1681984800,1681985700,3,1.08,1.014,0.997,1.447,3.023,1.601,0.951,0.966,1.007,1.334,0.946,0.939,12
1681984800,1681985700,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1681984800,1681985700,9,0.936,0.914,0.897,1.015,0.763,0.944,0.806,0.808,0.823,0.978,0.954,1.049,12
1681984800,1681985700,10,1.23,1.188,1.145,1.009,1.264,1.267,1.102,1.113,1.086,0.991,0.876,1.061,12
1681984800,1681985700,12,2.215,2.291,2.315,3.097,2.53,2.573,1.985,2.056,2.501,2.287,2.272,2.135,12
1681984800,1681985700,16,2.642,13.685,13.049,1.085,0.995,1.384,1.321,1.267,1.181,1.401,1.021,1.007,12
1681984800,1681985700,17,0.809,0.7,0.789,0.81,0.745,0.852,0.674,0.795,0.88,NaN,NaN,NaN,9
1681984800,1681985700,18,0.949,0.975,0.888,0.836,0.953,2.306,5.197,2.067,0.928,1.103,0.983,7.364,12
1681984800,1681985700,21,0.696,0.64,0.669,0.717,0.847,0.729,0.573,0.65,0.546,0.569,0.723,0.717,12
