StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1681984800,1681985700,1,2.365,2.316,2.437,2.463,2.394,2.349,2.451,2.393,2.357,NaN,NaN,NaN,9
1681984800,1681985700,3,0.871,0.926,0.941,0.936,1.018,0.865,0.774,0.896,0.898,NaN,NaN,NaN,9
1681984800,1681985700,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1681984800,1681985700,9,1.075,1.066,1.108,1.087,1.203,1.086,0.911,1.058,1.12,NaN,NaN,NaN,9
1681984800,1681985700,10,0.899,0.966,0.99,0.975,0.937,0.893,1.06,0.973,0.943,NaN,NaN,NaN,9
1681984800,1681985700,12,3.402,3.466,3.401,3.402,3.603,3.671,3.583,3.68,3.447,NaN,NaN,NaN,9
1681984800,1681985700,16,3.776,3.591,3.858,3.715,4.063,3.663,3.654,3.737,3.565,NaN,NaN,NaN,9
1681984800,1681985700,17,0.517,0.569,0.48,0.736,0.629,0.461,0.604,0.603,0.482,NaN,NaN,NaN,9
1681984800,1681985700,18,1.556,1.613,1.575,1.602,1.665,1.676,2.101,1.636,1.62,NaN,NaN,NaN,9
1681984800,1681985700,21,0.696,0.735,0.839,0.705,0.619,0.927,0.633,0.613,0.658,NaN,NaN,NaN,9
