StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1621504800,1621505700,1,0.99,0.963,1.05,0.978,1.094,1.011,1.008,0.961,1.169,1.005,0.933,0.959,12
1621504800,1621505700,3,1.076,1.009,1.012,1.278,1.246,2.078,1.071,1.442,1.22,1.12,1.13,1.185,12
1621504800,1621505700,7,1.885,1.723,1.782,2.016,2.484,1.875,1.754,1.761,1.806,1.658,1.757,1.713,12
1621504800,1621505700,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1621504800,1621505700,10,1.155,1.111,1.131,1.284,1.143,1.312,1.123,1.129,1.046,1.194,1.073,1.128,12
1621504800,1621505700,12,0.665,0.739,0.749,0.808,0.693,1.125,0.668,0.931,0.934,0.777,0.701,0.763,12
1621504800,1621505700,16,1.246,1.292,1.255,1.309,1.459,1.407,1.279,1.28,1.366,1.251,1.312,1.238,12
1621504800,1621505700,17,0.935,0.529,0.478,0.64,0.602,0.521,0.454,0.388,0.527,0.544,0.436,0.606,12
1621504800,1621505700,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1621504800,1621505700,21,0.475,0.55,0.423,0.556,0.444,0.421,0.417,0.359,0.49,0.526,0.481,0.458,12
