StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1626775200,1626776100,1,0.344,0.341,0.431,0.707,0.458,0.544,0.391,0.472,0.401,0.528,0.348,0.576,12
1626775200,1626776100,3,1.426,1.827,0.992,1.437,7.108,1.07,0.939,1.378,1.25,0.985,1.065,1.362,12
1626775200,1626776100,7,2.926,2.781,2.717,3.353,4.635,3.564,2.676,2.773,2.794,2.882,3.029,3.046,12
1626775200,1626776100,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1626775200,1626776100,10,1.93,1.819,1.848,2.493,2.525,3.824,2.063,1.924,2.002,2.037,2.008,2.238,12
1626775200,1626776100,12,0.983,0.983,0.928,1.177,1.246,1.228,0.945,0.968,0.975,1.395,1.095,0.909,12
1626775200,1626776100,16,1.928,1.875,1.886,1.965,2.124,2.084,1.762,1.765,1.721,1.979,2.252,2.097,12
1626775200,1626776100,17,2.7,2.619,2.553,3.154,2.879,2.76,2.581,2.506,2.696,2.818,2.996,2.778,12
1626775200,1626776100,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1626775200,1626776100,21,0.673,0.603,0.548,0.965,0.687,0.965,0.667,0.495,0.55,0.656,0.699,0.66,12
