StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1624183200,1624184100,1,0.868,0.835,0.878,0.98,0.891,1.212,0.879,1.318,0.947,0.903,1.218,0.869,12
1624183200,1624184100,3,1.074,0.981,0.94,1.448,1.383,1.343,1.226,1.415,1.025,1.4,1.052,1.148,12
1624183200,1624184100,7,1.547,1.466,1.647,1.49,2.714,1.848,1.861,1.531,1.61,1.624,1.558,1.576,12
1624183200,1624184100,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1624183200,1624184100,10,1.201,1.196,1.089,1.273,1.22,1.288,1.208,1.13,1.202,1.311,1.081,1.122,12
1624183200,1624184100,12,4.737,4.754,4.602,6.177,4.874,4.768,4.67,4.681,4.772,5.058,4.747,5.134,12
1624183200,1624184100,16,1.08,0.984,1.145,1.475,1.081,1.167,1.258,1.251,1.078,1.494,1.191,1.147,12
1624183200,1624184100,17,0.726,0.612,0.637,0.986,0.72,0.811,0.691,0.643,0.678,0.838,0.722,0.754,12
1624183200,1624184100,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1624183200,1624184100,21,0.966,0.75,0.864,0.784,0.835,0.808,1.033,0.905,0.947,0.873,0.861,0.902,12
