StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1621504800,1621505700,1,1.08,1.048,0.988,0.875,1.098,1.037,0.861,0.977,0.963,0.975,0.873,0.951,12
1621504800,1621505700,3,1.552,1.34,1.125,1.094,2.016,1.369,0.856,0.963,1.036,1.586,1.223,1.399,12
1621504800,1621505700,7,1.682,1.565,1.622,1.678,1.879,1.921,1.482,1.471,1.52,1.642,1.541,1.609,12
1621504800,1621505700,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1621504800,1621505700,10,1.263,1.239,1.464,1.491,1.473,1.624,1.358,1.604,1.464,1.353,1.646,1.109,12
1621504800,1621505700,12,1.111,1.095,1.252,1.184,1.269,1.878,1.195,1.205,1.106,1.137,1.067,1.113,12
1621504800,1621505700,16,1.185,1.165,1.133,1.516,1.263,1.351,1.084,1.07,1.19,1.41,1.253,1.182,12
1621504800,1621505700,17,0.771,0.829,0.822,0.82,0.877,0.893,0.833,0.728,0.789,0.796,0.774,0.808,12
1621504800,1621505700,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1621504800,1621505700,21,0.864,0.985,1.192,0.993,0.815,0.919,0.877,0.794,0.762,0.823,0.744,0.804,12
