StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1624183200,1624184100,1,0.444,0.543,0.718,0.615,0.656,0.951,0.344,0.325,0.314,0.342,0.371,0.309,12
1624183200,1624184100,3,1.099,1.288,0.928,1.384,1.401,1.455,0.927,0.929,0.96,1.039,0.983,0.979,12
1624183200,1624184100,7,3.126,2.855,3.0,3.053,3.107,3.188,2.671,2.742,2.565,2.706,2.869,2.664,12
1624183200,1624184100,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1624183200,1624184100,10,2.424,2.258,2.154,2.301,4.363,2.651,2.123,2.096,2.16,2.184,2.102,2.386,12
1624183200,1624184100,12,1.6,1.038,1.358,1.373,1.478,1.263,0.992,0.916,1.077,1.127,1.055,1.058,12
1624183200,1624184100,16,1.729,1.956,1.851,1.942,2.598,2.107,1.682,1.603,1.712,1.792,2.05,1.747,12
1624183200,1624184100,17,2.586,2.685,2.701,2.593,2.589,2.909,2.406,2.277,2.275,2.477,2.541,2.579,12
1624183200,1624184100,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1624183200,1624184100,21,0.683,0.937,0.817,0.724,0.949,0.635,0.574,0.617,0.498,0.563,0.579,0.712,12
