,,,,,,,,,,,,,,,,,,,,,,,,,
1,1687692600,2.243,2.203,2.105,2.076,2.152,2.197,2.168,2.113,2.146,2.212,2.308,2.211,2.307,2.385,2.432,2.173,2.142,2.196,2.268,2.247,2.233,,,
3,1687692600,1.01,0.917,2.349,0.771,0.803,0.833,1.319,0.798,0.785,1.001,1.003,0.951,1.256,1.197,1.159,0.88,0.847,0.863,0.876,1.042,0.98,,,
7,1687692600,,,,,,,,,,,,,,,,,,,,,,,,
9,1687692600,0.87,0.866,0.817,0.854,0.868,0.952,0.889,0.815,0.847,0.832,0.754,0.945,0.89,0.882,1.019,0.876,0.892,0.797,0.846,0.846,0.962,,,
10,1687692600,1.046,1.104,1.225,1.149,1.115,0.909,1.09,1.018,1.02,1.059,1.2,1.086,1.359,1.451,2.133,1.053,0.997,1.03,1.081,1.081,1.024,,,
12,1687692600,4.323,3.39,3.656,3.338,3.481,3.471,3.383,3.526,3.509,3.726,5.542,3.645,3.545,3.472,3.367,3.213,3.315,3.368,,,,,,
16,1687692600,3.891,3.887,3.923,3.745,3.694,3.713,3.679,3.798,3.68,3.692,3.719,3.679,4.018,3.707,3.911,3.65,3.654,3.644,3.71,3.655,3.695,,,
17,1687692600,0.479,0.551,0.569,0.596,0.55,0.749,0.766,0.476,0.467,0.489,0.555,0.582,0.653,0.576,0.435,0.636,0.523,0.562,0.561,0.43,0.505,,,
18,1687692600,1.438,1.454,1.304,1.461,1.298,3.687,1.373,1.314,1.295,1.306,1.317,1.328,1.489,1.258,1.251,1.419,1.346,1.45,,,,,,
21,1687692600,0.801,0.794,0.863,0.65,0.62,0.611,0.701,0.623,0.621,0.753,0.851,0.835,0.815,0.688,0.81,1.076,0.753,0.758,1.288,0.691,0.845,,,
1,1687694400,2.166,2.101,2.14,2.107,2.151,2.122,2.17,2.135,2.152,2.092,2.179,2.13,2.269,2.257,2.225,2.091,2.132,2.12,2.144,2.206,2.117,,,
3,1687694400,0.757,0.765,1.107,0.87,0.871,0.822,0.791,0.805,0.847,0.823,0.794,0.831,0.891,0.936,0.887,0.727,0.686,0.722,0.917,0.881,0.908,,,
