StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1684576800,1684577700,1,0.794,0.942,0.8,1.768,0.899,0.845,0.744,0.804,0.743,0.746,0.788,0.883,12
1684576800,1684577700,3,1.195,1.074,1.128,1.419,3.433,1.375,1.163,0.975,1.061,1.105,1.097,0.947,12
1684576800,1684577700,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1684576800,1684577700,9,0.954,1.103,0.934,1.058,0.987,0.957,0.896,1.084,0.971,1.051,1.016,0.908,12
1684576800,1684577700,10,1.14,1.143,1.098,1.411,1.354,1.42,1.181,1.126,1.054,1.08,1.054,0.996,12
1684576800,1684577700,12,2.075,2.135,2.084,2.16,2.2,2.261,1.959,2.05,2.056,NaN,NaN,NaN,9
1684576800,1684577700,16,1.493,1.267,1.229,1.192,1.679,1.386,2.523,1.093,1.016,1.385,1.026,0.986,12
1684576800,1684577700,17,0.849,0.821,0.636,0.828,0.851,0.815,0.701,0.884,0.718,0.8,0.742,0.701,12
1684576800,1684577700,18,4.267,1.02,1.823,1.054,1.002,0.98,NaN,1.188,1.053,1.102,1.061,0.978,11
1684576800,1684577700,21,0.81,0.827,0.794,0.964,0.627,0.676,0.754,0.859,0.829,0.727,0.732,0.558,12
